"Ticker,Company Name"
"ANA.MC,Acciona"
"ACX.MC,Acerinox"
"ACS.MC,Grupo ACS"
"AENA.MC,Aena"
"ALM.MC,Almirall"
"AMS.MC,Amadeus IT Group"
"MTS.MC,ArcelorMittal"
"SAB.MC,Banco Sabadell"
"SAN.MC,Banco Santander"
"BKT.MC,Bankinter"
"BBVA.MC,BBVA"
"CABK.MC,CaixaBank"
"CLNX.MC,Cellnex Telecom"
"CIE.MC,CIE Automotive"
"ENG.MC,Enagás"
"ELE.MC,Endesa"
"FER.MC,Ferrovial"
"FDR.MC,Fluidra"
"GRF.MC,Grifols"
"IAG.MC,IAG"
"IBE.MC,Iberdrola"
"ITX.MC,Inditex"
"IDR.MC,Indra Sistemas"
"COL.MC,Inmobiliaria Colonial"
"MAP.MC,Mapfre"
"MEL.MC,Meliá Hotels International"
"MRL.MC,Merlin Properties"
"NTGY.MC,Naturgy"
"PHM.MC,PharmaMar"
"RED.MC,Red Eléctrica Corporación"
"REP.MC,Repsol"
"ROVI.MC,Rovi"
"SGRE.MC,Siemens Gamesa Renewable Energy"
"SLR.MC,Solaria Energía y Medio Ambiente"
"TEF.MC,Telefónica"
